index,carat,cut,color,clarity,depth,table,price,x,y,z
30730,0.32,Ideal,F,VVS2,62.1,54.0,739,4.42,4.44,2.75
3953,0.7,Ideal,E,VS2,61.0,56.0,3504,5.74,5.78,3.52
49638,0.32,Premium,G,SI2,62.3,58.0,540,4.42,4.37,2.74
21013,1.3,Ideal,G,VS2,61.9,55.0,9225,7.04,7.01,4.35
23089,1.57,Premium,G,SI1,59.2,59.0,11113,7.68,7.6,4.52
39995,0.41,Ideal,F,VS2,60.0,56.0,1107,4.88,4.82,2.91
12036,0.34,Premium,G,VS2,61.6,60.0,596,4.47,4.49,2.76
26278,2.04,Premium,H,SI2,62.7,56.0,15760,8.12,8.06,5.07
41856,0.61,Premium,G,SI1,60.8,60.0,1255,5.42,5.42,3.31
3431,0.78,Very Good,E,SI1,59.8,57.0,3385,5.98,6.02,3.59
40996,0.5,Premium,E,SI2,61.8,59.0,1181,5.07,5.03,3.12
44999,0.31,Very Good,I,SI1,63.5,56.0,523,4.32,4.28,2.73
22214,1.72,Ideal,G,SI2,62.8,59.0,10268,7.62,7.55,4.76
24686,1.61,Very Good,E,SI1,62.3,57.0,13047,7.43,7.47,4.64
25822,1.5,Very Good,G,VVS1,63.3,58.0,14842,7.19,7.27,4.58
25638,1.13,Ideal,E,VVS1,60.6,57.0,14525,6.72,6.77,4.09
4326,1.01,Fair,I,VS2,68.7,58.0,3597,6.14,6.0,4.19
13815,1.25,Very Good,J,VS1,61.8,58.0,5628,6.89,6.93,4.27
5798,0.91,Ideal,I,VS1,62.1,57.0,3906,6.2,6.23,3.86
51658,0.3,Ideal,G,VS2,62.0,54.0,545,4.33,4.35,2.69
600,0.7,Premium,G,VS1,62.6,55.0,2838,5.73,5.64,3.56
50238,0.71,Ideal,I,VS2,62.3,59.0,2233,5.68,5.71,3.55
22137,1.2,Premium,G,IF,59.4,61.0,10169,6.95,6.92,4.12
26887,2.51,Very Good,J,SI1,63.8,55.0,16842,8.51,8.6,5.46
24147,1.05,Ideal,F,VVS1,59.0,60.0,12315,6.62,6.67,3.92
42657,0.4,Ideal,E,VVS1,61.5,56.0,1333,4.75,4.78,2.93
7054,0.33,Ideal,H,VS1,62.0,55.0,579,4.44,4.46,2.76
22104,1.52,Very Good,I,VS2,61.7,55.0,10130,7.39,7.32,4.54
26704,0.32,Ideal,G,VS1,62.3,55.0,645,4.37,4.4,2.73
9189,0.93,Ideal,G,SI1,62.0,56.0,4546,6.22,6.26,3.87
4210,0.72,Premium,E,VVS1,62.9,59.0,3566,5.75,5.67,3.59
20173,1.06,Ideal,G,VVS2,60.1,57.0,8626,6.61,6.66,3.99
16181,1.0,Premium,F,VS2,58.6,61.0,6468,6.53,6.5,3.82
4993,0.9,Good,D,SI2,63.8,58.0,3740,6.13,6.09,3.9
40484,0.64,Good,J,SI2,64.7,54.0,1141,5.39,5.43,3.5
27469,2.14,Very Good,E,SI2,61.5,58.0,18125,8.24,8.31,5.09
39657,0.42,Ideal,H,VS1,62.0,57.0,1087,4.82,4.8,2.98
11359,1.12,Premium,H,SI1,62.4,56.0,4994,6.74,6.63,4.17
40735,0.46,Very Good,I,VVS1,62.9,57.0,1163,4.91,4.95,3.1
23194,2.0,Premium,H,SI1,61.7,58.0,11200,7.82,7.77,4.81
20849,1.5,Good,E,SI2,63.9,58.0,9072,7.26,7.21,4.62
40359,0.43,Premium,D,VS2,60.7,58.0,1129,4.88,4.84,2.95
9648,1.12,Premium,H,SI2,59.7,60.0,4641,6.77,6.72,4.03
31456,0.34,Premium,E,SI1,59.6,57.0,765,4.61,4.52,2.72
4019,1.02,Ideal,I,SI2,62.9,56.0,3521,6.45,6.37,4.03
46471,0.58,Ideal,F,SI2,60.9,56.0,1776,5.42,5.39,3.29
32689,0.31,Very Good,G,VS1,63.3,56.0,802,4.33,4.29,2.73
37708,0.38,Very Good,D,VS1,58.2,58.0,995,4.77,4.81,2.79
50126,0.51,Very Good,E,VVS2,61.4,59.0,2211,5.1,5.16,3.15
26330,2.05,Premium,I,SI1,61.2,57.0,15837,8.24,8.21,5.03
41543,0.5,Good,D,SI1,63.7,57.0,1235,5.01,4.94,3.17
52759,0.72,Very Good,E,SI1,62.0,57.0,2562,5.73,5.76,3.56
32113,0.36,Ideal,H,VVS1,62.0,54.0,783,4.59,4.61,2.85
42165,0.51,Ideal,E,SI1,61.2,57.0,1284,5.14,5.16,3.15
33553,0.3,Ideal,G,IF,62.3,52.8,830,4.29,4.33,2.69
33913,0.3,Premium,E,VS2,62.8,59.0,844,4.26,4.24,2.67
10986,1.01,Good,E,SI1,63.1,60.0,4912,6.34,6.37,4.01
6203,1.02,Good,I,SI1,64.2,53.0,3998,6.3,6.26,4.03
12283,1.33,Premium,H,SI2,61.9,58.0,5214,7.07,7.01,4.36
5682,1.01,Good,F,SI2,62.7,61.0,3886,6.28,6.38,3.97
45708,0.56,Ideal,H,VS1,62.8,56.0,1698,5.28,5.23,3.3
49822,0.61,Ideal,G,VS1,61.9,56.0,2167,5.43,5.45,3.37
50738,0.52,Ideal,D,VS1,62.2,56.0,2296,5.16,5.13,3.2
13448,1.0,Very Good,G,SI1,61.0,56.7,5522,6.44,6.47,3.94
26421,1.72,Premium,G,VS2,61.1,58.0,15946,7.73,7.69,4.71
53086,0.57,Ideal,G,VVS1,60.9,56.0,2612,5.37,5.41,3.28
22849,1.5,Good,H,VS2,63.9,60.0,10886,7.22,7.17,4.6
33095,0.37,Ideal,H,VVS1,62.0,53.0,815,4.63,4.66,2.88
10354,0.91,Fair,E,VS1,64.5,58.0,4770,6.14,6.1,3.95
41217,0.4,Premium,D,VVS2,62.0,61.0,1206,4.72,4.7,2.92
49636,0.32,Very Good,I,SI1,63.5,57.0,540,4.33,4.3,2.74
22402,1.5,Good,G,SI1,63.7,59.0,10428,7.19,7.23,4.59
25777,2.01,Good,G,SI2,63.0,60.0,14745,7.92,7.99,5.01
42709,0.57,Very Good,G,SI1,61.9,59.0,1340,5.28,5.31,3.28
41958,0.23,Very Good,E,VVS2,61.9,60.0,505,3.93,3.96,2.44
12413,1.14,Very Good,E,SI2,61.5,58.0,5236,6.66,6.73,4.12
39918,0.42,Very Good,E,VS1,62.1,55.0,1105,4.81,4.85,3.0
17991,1.75,Ideal,H,I1,61.5,54.9,7276,7.75,7.78,4.78
11354,1.01,Premium,E,SI1,59.9,59.0,4991,6.49,6.46,3.88
30809,0.3,Ideal,E,VVS2,62.0,55.0,743,4.3,4.34,2.68
48873,1.0,Fair,I,I1,64.5,58.0,2035,6.33,6.1,4.01
31173,0.41,Good,I,VS1,63.7,57.0,755,4.67,4.72,2.99
39095,0.41,Good,J,IF,63.6,54.0,1061,4.75,4.72,3.01
31858,0.3,Ideal,H,VVS2,60.4,56.0,776,4.36,4.32,2.62
41493,0.51,Good,D,SI2,64.2,56.0,1232,5.05,5.02,3.23
126,0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46
2865,0.72,Ideal,D,VS2,60.5,57.0,3275,5.81,5.83,3.52
20874,1.05,Ideal,F,VVS2,62.1,54.0,9092,6.52,6.55,4.06
49289,0.73,Very Good,I,SI2,63.0,58.0,2093,5.71,5.75,3.61
37565,0.31,Ideal,G,IF,62.6,57.0,988,4.32,4.3,2.7
30583,0.31,Ideal,D,VS2,62.1,54.0,734,4.35,4.41,2.72
1205,0.7,Ideal,D,SI2,62.6,54.0,2936,5.69,5.72,3.57
24502,1.64,Very Good,E,SI1,61.8,59.0,12779,7.51,7.55,4.65
19973,1.16,Very Good,E,VS2,62.1,58.0,8520,6.63,6.7,4.14
25086,1.54,Premium,G,VS1,61.9,59.0,13609,7.34,7.37,4.55
31904,0.3,Ideal,G,VS1,62.2,55.0,776,4.31,4.28,2.67
24139,1.5,Premium,G,VS2,62.9,54.0,12308,7.31,7.26,4.58
23387,0.3,Good,I,IF,63.3,57.0,631,4.23,4.3,2.7
8418,1.51,Premium,H,I1,60.9,56.0,4404,7.38,7.26,4.46
48317,0.28,Very Good,F,VS1,62.3,52.0,536,4.2,4.26,2.62
46442,0.53,Ideal,E,VS1,60.4,57.0,1772,5.27,5.26,3.18
35433,0.32,Ideal,E,VS2,62.1,54.0,900,4.42,4.4,2.74
48750,0.55,Ideal,G,VVS2,60.5,58.0,2016,5.3,5.34,3.22
14472,0.74,Ideal,D,VVS2,61.4,56.0,5841,5.82,5.87,3.58
41476,0.5,Premium,F,SI1,61.7,57.0,1231,5.09,5.06,3.13
42466,0.55,Premium,G,SI1,61.3,59.0,1316,5.23,5.28,3.22
29974,0.32,Ideal,D,SI1,60.9,55.0,715,4.45,4.48,2.72
12802,0.7,Ideal,E,VVS1,61.8,55.0,5338,5.69,5.73,3.53
49355,0.71,Very Good,F,SI2,59.0,58.0,2098,5.84,5.89,3.46
3034,0.26,Premium,H,VVS2,59.8,61.0,565,4.18,4.15,2.49
3466,0.91,Premium,G,SI1,58.0,59.0,3392,6.45,6.38,3.72
51456,0.71,Ideal,H,SI2,62.6,56.0,2376,5.65,5.75,3.57
7002,1.0,Good,I,VS2,59.7,64.0,4155,6.51,6.45,3.87
10378,1.09,Ideal,J,VS2,43.0,54.0,4778,6.53,6.55,4.12
15216,1.01,Premium,G,VS2,62.1,54.0,6108,6.5,6.36,3.99
9344,1.03,Ideal,G,SI2,61.8,55.0,4582,6.46,6.51,4.01
23526,1.2,Ideal,G,VVS2,61.0,56.0,11530,6.86,6.88,4.19
22927,1.52,Premium,E,SI1,62.4,59.0,10963,7.37,7.34,4.59
7441,0.94,Premium,F,SI2,62.2,59.0,4230,6.27,6.23,3.89
10489,1.01,Ideal,F,SI2,60.0,57.0,4796,6.55,6.51,3.92
34949,0.28,Very Good,I,VS2,61.9,57.0,379,4.16,4.19,2.58
25747,1.52,Very Good,D,VS2,63.4,59.0,14680,7.32,7.24,4.61
49554,0.77,Premium,G,SI2,61.3,58.0,2129,5.94,5.88,3.62
53119,0.81,Good,I,VS2,63.8,58.0,2617,5.84,5.89,3.74
5810,0.92,Premium,F,SI1,62.0,60.0,3910,6.26,6.19,3.86
32239,0.31,Ideal,G,VVS1,62.1,53.0,789,4.36,4.4,2.72
15951,1.24,Ideal,I,SI1,60.6,59.0,6381,6.97,7.03,4.24
6724,0.27,Ideal,F,VS2,60.9,57.0,577,4.17,4.2,2.55
32765,0.34,Ideal,D,SI1,60.6,56.0,803,4.54,4.51,2.74
9712,0.26,Very Good,F,SI1,59.6,55.0,590,4.18,4.24,2.51
11317,1.05,Very Good,I,VS2,63.2,59.0,4986,6.47,6.44,4.08
37759,0.38,Ideal,G,VS1,62.5,56.0,998,4.64,4.58,2.88
14328,1.03,Ideal,D,SI1,61.2,55.0,5804,6.51,6.57,4.0
34421,0.3,Ideal,G,IF,61.8,55.0,863,4.32,4.36,2.68
29788,0.3,Ideal,D,SI1,61.4,55.0,709,4.34,4.29,2.65
16191,1.01,Premium,G,VVS2,61.9,60.0,6470,6.45,6.41,3.98
10799,1.0,Premium,H,VS2,59.7,58.0,4861,6.57,6.52,3.91
19528,1.02,Ideal,G,IF,62.5,57.0,8162,6.37,6.44,4.0
33495,0.32,Premium,F,VS2,62.1,59.0,828,4.41,4.35,2.72
19953,1.53,Ideal,H,SI2,61.9,57.0,8499,7.42,7.34,4.57
18333,1.31,Premium,H,VS2,62.5,58.0,7459,6.97,6.94,4.35
48041,0.51,Premium,G,VVS1,60.2,58.0,1925,5.2,5.24,3.14
14215,1.27,Premium,J,VVS1,60.1,58.0,5761,7.06,6.99,4.22
18840,1.4,Premium,I,VS1,61.6,59.0,7722,7.22,7.17,4.43
36654,0.4,Premium,E,VS2,61.2,60.0,949,4.79,4.68,2.9
32630,0.23,Good,F,VVS1,58.1,52.0,458,4.03,4.1,2.36
15932,1.01,Premium,G,VVS2,61.9,58.0,6371,6.48,6.38,3.98
9130,0.9,Fair,F,VS2,59.5,67.0,4536,6.29,6.24,3.73
9938,0.9,Very Good,D,SI1,62.4,61.0,4693,6.13,6.17,3.84
17983,1.2,Premium,E,SI1,60.9,57.0,7274,6.86,6.8,4.16
26174,2.0,Very Good,I,VS2,59.5,62.0,15510,8.13,8.21,4.86
28875,0.32,Ideal,J,IF,62.2,56.0,684,4.41,4.37,2.73
27875,0.3,Very Good,F,VS1,61.5,56.0,654,4.31,4.34,2.66
19352,0.31,Ideal,E,VS2,61.8,56.0,622,4.35,4.37,2.69
28525,0.41,Ideal,J,VS1,61.6,55.1,674,4.75,4.8,2.95
36329,0.32,Premium,G,VVS2,62.0,55.0,936,4.42,4.39,2.73
3678,0.7,Good,F,VVS2,62.5,58.0,3445,5.68,5.75,3.57
33575,0.3,Very Good,F,VVS1,62.2,56.0,832,4.28,4.3,2.67
11158,1.02,Ideal,D,SI2,61.4,56.0,4946,6.42,6.57,3.99
6783,0.82,Ideal,D,SI1,61.9,56.0,4113,5.99,6.02,3.72
26310,2.02,Premium,I,VS2,62.9,59.0,15808,8.03,7.93,5.02
11815,1.07,Premium,G,SI1,61.0,58.0,5091,6.66,6.59,4.04
6455,1.23,Good,D,I1,63.7,58.0,4050,6.79,6.72,4.3
995,0.76,Premium,E,SI1,61.1,58.0,2897,5.91,5.85,3.59
26253,2.18,Ideal,I,SI2,62.5,55.0,15706,8.31,8.34,5.2
7786,0.72,Ideal,E,VVS2,62.1,56.0,4285,5.72,5.77,3.57
1730,0.32,Very Good,H,VS1,61.7,58.0,561,4.37,4.41,2.71
14574,1.03,Premium,H,VS1,62.4,60.0,5883,6.48,6.43,4.03
14515,1.14,Ideal,I,VS1,61.7,53.0,5863,6.75,6.77,4.17
20805,1.08,Ideal,G,IF,61.3,57.0,9035,6.62,6.59,4.05
2317,0.72,Ideal,H,VS1,61.8,55.0,3167,5.78,5.81,3.58
41513,0.44,Ideal,G,VVS1,61.6,56.0,1235,4.88,4.9,3.01
31165,0.41,Ideal,E,SI1,62.7,57.0,755,4.74,4.77,2.98
47584,0.7,Very Good,I,SI2,58.8,60.0,1876,5.8,5.83,3.42
12066,1.04,Premium,H,SI1,61.6,58.0,5154,6.53,6.48,4.01
19387,1.2,Premium,G,VS1,62.4,59.0,8056,6.73,6.69,4.19
30715,0.33,Ideal,F,VS1,61.6,55.0,738,4.46,4.47,2.76
34008,0.3,Ideal,D,VS1,62.0,54.0,848,4.34,4.3,2.68
42188,0.5,Good,G,SI1,62.5,64.0,1286,4.99,4.93,3.1
20597,1.21,Good,E,VS1,61.7,58.0,8902,6.73,6.78,4.17
29995,0.43,Ideal,H,SI1,62.5,57.0,716,4.79,4.84,3.01
14134,1.01,Very Good,D,SI1,62.9,58.0,5731,6.33,6.38,4.0
18995,1.09,Ideal,G,VS1,62.3,55.0,7820,6.59,6.63,4.12
29785,0.3,Premium,D,SI1,59.7,59.0,709,4.37,4.34,2.6
51233,0.7,Ideal,G,SI1,62.7,57.0,2352,5.69,5.64,3.55
34302,0.4,Very Good,E,VS2,62.9,59.0,858,4.7,4.75,2.97
36425,0.31,Ideal,D,VS2,61.2,55.0,942,4.42,4.37,2.69
1489,0.76,Ideal,I,IF,61.6,55.0,2988,5.92,5.89,3.64
35716,0.3,Ideal,D,VS2,60.8,57.0,911,4.34,4.31,2.63
19835,1.0,Premium,F,VVS2,61.2,60.0,8400,6.43,6.38,3.92
39476,0.41,Premium,E,VS1,62.0,60.0,1079,4.74,4.78,2.95
33779,0.32,Ideal,D,VS2,61.8,55.0,842,4.43,4.41,2.73
12467,1.06,Ideal,E,SI1,59.6,54.0,5250,6.64,6.62,3.95
8286,1.0,Very Good,F,SI2,62.2,55.0,4383,6.39,6.44,3.99
12729,1.5,Good,F,I1,60.6,62.0,5313,7.22,7.24,4.38
31964,0.26,Very Good,E,VS2,62.1,56.0,452,4.11,4.13,2.56
49443,0.7,Ideal,H,SI2,62.1,55.0,2110,5.69,5.72,3.54
36186,0.32,Very Good,E,VVS1,60.9,58.0,931,4.49,4.45,2.72
49422,0.77,Ideal,F,SI2,62.0,56.0,2107,5.92,5.86,3.65
1482,0.82,Ideal,I,VS1,61.6,57.0,2986,6.0,6.05,3.71
20000,1.5,Very Good,E,SI2,62.8,57.0,8538,7.17,7.23,4.52
47490,0.72,Ideal,J,SI1,62.3,56.0,1864,5.75,5.78,3.59
12926,1.01,Good,F,SI1,62.4,59.0,5378,6.29,6.33,3.94
45433,0.57,Ideal,E,SI1,60.8,55.0,1670,5.39,5.41,3.28
29833,0.31,Ideal,G,VVS1,61.3,60.0,710,4.33,4.38,2.67
47863,0.67,Premium,E,SI1,59.2,61.0,1910,5.74,5.72,3.39
16232,1.22,Premium,G,SI1,60.7,59.0,6492,6.92,6.96,4.21
40479,0.53,Good,E,SI2,63.4,56.0,1141,5.16,5.18,3.28
6272,0.71,Very Good,D,VVS2,61.7,58.0,4014,5.71,5.74,3.53
8579,1.04,Premium,E,SI2,60.1,60.0,4436,6.53,6.51,3.92
48515,0.58,Ideal,G,VS1,62.6,54.0,1984,5.34,5.3,3.33
4047,0.7,Ideal,D,VS1,62.8,54.0,3529,5.65,5.69,3.56
19944,1.5,Premium,H,SI2,62.3,60.0,8490,7.22,7.3,4.52
24933,2.01,Fair,F,SI1,58.6,95.0,13387,8.32,8.31,4.87
14039,1.02,Good,G,VS1,57.3,59.0,5706,6.71,6.65,3.83
27360,1.51,Premium,D,VS1,63.0,52.0,17936,7.37,7.3,4.62
43260,0.55,Good,F,SI1,64.3,57.9,1400,5.16,5.21,3.33
7337,0.85,Very Good,D,VS2,61.8,56.0,4211,6.06,6.08,3.75
34104,0.36,Ideal,D,VS2,60.6,57.0,852,4.57,4.61,2.78
53150,0.74,Ideal,F,SI2,61.9,56.0,2623,5.81,5.85,3.61
52193,0.72,Very Good,E,SI1,60.0,57.0,2479,5.8,5.84,3.49
1334,0.74,Ideal,G,VS1,61.8,55.0,2960,5.85,5.8,3.6
25900,2.48,Fair,I,SI2,56.7,66.0,15030,8.88,8.64,4.99
25108,2.02,Premium,I,SI2,61.4,57.0,13642,8.18,8.08,4.99
4273,0.79,Premium,E,VS1,62.6,56.0,3583,5.92,5.87,3.69
52827,0.7,Very Good,F,SI1,59.4,59.0,2573,5.75,5.8,3.43
37684,0.38,Ideal,G,VVS1,61.9,56.0,993,4.67,4.7,2.9
25811,1.8,Ideal,F,SI1,61.9,56.0,14814,7.78,7.87,4.84
25828,1.18,Ideal,E,IF,61.1,56.0,14847,6.78,6.91,4.18
24415,2.23,Very Good,J,SI2,60.5,61.0,12655,8.4,8.47,5.1
4513,1.02,Fair,F,SI2,66.6,58.0,3633,6.21,6.14,4.11
3955,0.7,Ideal,E,VS2,60.8,56.0,3504,5.74,5.78,3.5
52164,0.72,Very Good,E,SI1,62.6,59.0,2474,5.66,5.71,3.56
46030,0.57,Ideal,G,VS2,61.8,56.0,1728,5.35,5.3,3.29
6630,0.92,Good,D,SI1,63.6,57.0,4086,6.14,6.09,3.89
15144,1.35,Very Good,H,SI2,62.2,56.0,6088,7.02,7.06,4.38
33174,0.43,Ideal,G,SI1,61.7,55.0,818,4.89,4.87,3.01
23180,1.5,Premium,H,VS1,59.9,60.0,11189,7.44,7.39,4.44
32859,0.4,Premium,H,VS1,62.6,58.0,807,4.68,4.71,2.94
20019,0.32,Premium,G,SI2,61.0,59.0,421,4.36,4.42,2.68
44290,0.52,Very Good,I,VVS1,63.1,58.0,1577,5.13,5.1,3.23
42716,0.54,Ideal,E,SI2,60.7,56.0,1340,5.3,5.25,3.2
23857,2.1,Fair,G,SI2,61.4,66.0,11946,8.26,8.19,5.05
23342,0.3,Very Good,H,SI1,63.0,54.0,421,4.27,4.3,2.7
16530,1.05,Ideal,G,VS2,61.9,56.0,6604,6.56,6.52,4.05
29226,0.31,Ideal,G,VS1,62.7,57.0,695,4.34,4.31,2.71
50648,0.31,Good,E,SI1,63.6,57.0,544,4.28,4.3,2.73
43051,0.52,Premium,D,SI1,60.7,58.0,1376,5.23,5.18,3.16
25857,2.07,Ideal,H,SI1,60.6,56.0,14935,8.38,8.3,5.05
16682,0.29,Ideal,G,SI1,62.1,54.0,420,4.25,4.29,2.65
3427,0.79,Ideal,E,SI1,62.0,57.0,3384,5.92,5.96,3.68
10845,1.16,Premium,I,SI1,60.0,58.0,4872,6.82,6.78,4.08
32143,0.32,Ideal,G,VVS1,61.8,56.0,786,4.39,4.41,2.72
20070,0.31,Ideal,G,VS1,62.1,55.0,625,4.33,4.36,2.7
29231,0.32,Very Good,F,VS1,61.3,55.0,696,4.41,4.44,2.71
5130,0.91,Good,D,SI2,64.7,57.0,3763,6.02,6.04,3.9
53365,0.77,Premium,G,SI1,62.7,57.0,2657,5.85,5.79,3.65
34399,0.36,Ideal,E,VS1,62.0,54.2,863,4.55,4.58,2.83
1595,0.8,Ideal,D,SI1,62.2,57.0,3011,5.89,5.85,3.65
24210,1.72,Very Good,I,VVS2,62.7,58.0,12396,7.54,7.6,4.75
19499,1.23,Ideal,G,VS2,61.5,54.0,8133,6.92,6.89,4.25
53046,0.71,Very Good,E,SI1,61.7,61.0,2606,5.74,5.76,3.55
44132,0.46,Ideal,G,IF,60.9,57.0,1560,4.98,5.01,3.04
44184,0.5,Very Good,H,VVS2,62.9,56.0,1569,5.03,5.08,3.18
15537,1.5,Good,I,SI1,63.8,56.0,6224,7.26,7.15,4.59
15953,1.0,Very Good,F,VS2,63.3,55.0,6382,6.34,6.29,4.0
27270,2.11,Ideal,I,VS2,62.2,55.0,17712,8.2,8.26,5.12
5299,1.0,Good,F,SI2,63.4,60.0,3801,6.28,6.33,4.0
12070,1.02,Very Good,F,SI1,60.7,59.0,5155,6.49,6.55,3.96
37248,0.43,Good,D,VS2,59.9,61.0,976,4.84,4.88,2.91
15247,1.04,Premium,G,VS2,60.0,58.0,6122,6.62,6.54,3.95
7012,1.1,Ideal,J,SI2,60.9,56.0,4157,6.68,6.72,4.08
9377,0.32,Premium,D,SI1,60.4,58.0,589,4.44,4.47,2.69
25798,1.7,Good,G,VS1,63.9,58.0,14787,7.46,7.5,4.78
12981,1.11,Ideal,H,SI1,62.5,56.0,5395,6.65,6.63,4.15
42389,0.6,Good,F,SI2,62.0,62.0,1306,5.33,5.4,3.32
4199,1.01,Premium,J,SI2,62.5,62.0,3563,6.41,6.36,3.99
33939,0.34,Ideal,J,VS1,62.0,54.0,464,4.52,4.55,2.81
38680,0.3,Ideal,D,VVS2,61.5,55.0,1041,4.34,4.38,2.68
24852,1.51,Ideal,E,SI1,62.2,56.0,13254,7.31,7.36,4.56
16790,1.21,Ideal,I,VS1,61.5,56.0,6691,6.83,6.87,4.22
2524,0.7,Very Good,F,VVS1,63.3,62.0,3204,5.67,5.57,3.56
5665,0.91,Premium,H,VS1,59.2,62.0,3881,6.2,6.14,3.65
4796,1.2,Fair,H,SI2,65.6,57.0,3696,6.73,6.57,4.36
42830,0.59,Premium,G,SI1,59.8,58.0,1355,5.48,5.43,3.26
29014,0.34,Very Good,G,VS1,60.4,61.0,686,4.48,4.53,2.72
30539,0.31,Very Good,D,VS2,62.9,55.0,734,4.31,4.34,2.72
23723,0.25,Very Good,F,VVS1,61.8,55.0,633,4.06,4.09,2.52
24758,1.13,Very Good,D,VVS2,61.5,58.0,13111,6.64,6.67,4.09
28754,0.31,Ideal,E,VS2,61.4,54.0,680,4.38,4.41,2.7
11895,1.2,Very Good,G,SI2,59.7,59.0,5116,6.89,6.94,4.13
14064,0.3,Good,G,VS1,63.4,58.0,605,4.23,4.25,2.69
35814,0.31,Ideal,F,IF,62.3,54.0,914,4.33,4.37,2.71
52564,0.7,Premium,I,VVS1,61.2,59.0,2536,5.69,5.65,3.47
27129,1.7,Premium,E,VS2,62.9,58.0,17323,7.57,7.54,4.75
16545,1.0,Premium,F,VS2,62.7,58.0,6608,6.4,6.33,3.99
27817,0.34,Ideal,G,SI1,61.2,57.0,650,4.56,4.53,2.78
15465,1.2,Very Good,I,VS1,62.6,59.0,6192,6.69,6.73,4.2
36902,0.37,Ideal,F,VVS1,61.3,55.0,960,4.62,4.65,2.84
18504,1.53,Premium,I,SI2,62.1,59.0,7539,7.35,7.37,4.57
33216,0.31,Ideal,F,IF,62.3,57.0,821,4.25,4.29,2.66
37013,0.33,Very Good,G,VVS2,60.0,63.0,965,4.49,4.45,2.68
53605,0.81,Very Good,I,SI1,60.3,58.0,2701,6.0,6.04,3.63
45313,0.3,Ideal,G,VS1,61.1,56.0,524,4.35,4.36,2.66
46556,0.51,Ideal,E,VS2,62.2,57.0,1781,5.11,5.08,3.17
